id,city,state,latitude,longitude
1418109,Adak C-2,AK,51.8800000,-176.6580556
2581976,Adak C-4,AK,51.8480556,-177.1069444
2582259,Adak C-6,AK,51.7716667,-177.8033333
856731,Adam Peak,NV,41.2179556,-117.2551179
479,Adamana,AZ,34.9766921,-109.8223383
430001,Adams,IN,39.3825496,-85.5599730
439481,Adams,IN,39.4853262,-85.5566395
484511,Adams,KS,37.4586284,-97.9775583
507374,Adams,KY,38.0545335,-82.7076584
639202,Adams,MN,43.5652435,-92.7193503
1027651,Adams,ND,48.4213852,-98.0789893
826897,Adams,NE,40.4594441,-96.5100171
942159,Adams,NY,43.8092321,-76.0240892
1089528,Adams,OK,36.7564149,-101.0771061
1116762,Adams,OR,45.7673540,-118.5624734
1304763,Adams,TN,36.5822667,-87.0655564
1379315,Adams,TX,30.9346154,-100.2648086
1560681,Adams,WI,43.9560820,-89.8181818
1500979,Adams Grove,VA,36.7076497,-77.4610891
1477062,Adams Grove,VA,36.6932056,-77.3852524
1477378,Adams Grove,VA,36.7265384,-77.4374772
1511381,Adams Mountain,WA,48.0540531,-118.1133133
619826,Adams Park,MI,42.1539342,-85.4727744
1220137,Adams Run,SC,32.7207343,-80.3481562
1089538,Adamson,OK,34.9239867,-95.5472039
112930,Adamsville,AL,33.6009389,-86.9561059
452104,Adamsville,IN,41.7542159,-85.9750012
484513,Adamsville,KS,37.1750263,-97.1308732
484514,Adamsville,KS,37.1733592,-97.1764298
619836,Adamsville,MI,41.7853265,-85.9938917
1064297,Adamsville,OH,40.0697925,-81.8823542
1350883,Adamsville,TX,31.3012767,-98.1689206
1425050,Adamsville,UT,38.2583031,-112.7938352
855945,Adaven,NV,38.1321656,-115.6003093
1329222,Addicks,TX,29.7824508,-95.6424457
403357,Addieville,IL,38.3914390,-89.4900881
558240,Addis,LA,30.2574180,-91.3139981
532086,Addis,LA,30.3538043,-91.2653865
159051,Addison,AL,34.2023243,-87.1814012
561093,Addison,ME,44.6184102,-67.7441645
619840,Addison,MI,41.9864341,-84.3471684
942177,Addison,NY,42.1028514,-77.2335879
1037320,Addison,OH,38.8861910,-82.1462561
1345042,Addison,TX,32.9903999,-96.7741666
